Genotype,Region,Population,DW_Site,Longitude,Latitude,Altitude,Density_2012,DBH_14,DBH_16_Int,Area_Growth_2016_cm2_year,Area_Growth_2014_cm2_year,Height_m_13,X2010_61_Bud_Flush,X2010_245_Bud_Set,X2010_259_Bud_Set,X2010_274_Bud_Set,Volume_m3,Root_GE,Stem_GE,Leaf_Lifespan
BESC-111,Columbia,Columbia,Rainier,-122.9901306,46.11506654,19.5,NA,137.6307802,172.5144143,33.5213457,29.75199924,10.06955966,2.920794248,4.172060483,4.476072946,5.50631395,0.144634735,NA,NA,255.3159967
BESC-112,Columbia,Columbia,Rainier,-122.9905997,46.11532152,19.5,NA,146.4746701,184.6466115,38.26004378,33.71490206,10.53699915,2.923170972,2.759593125,3.677976309,5.273011997,0.163337742,NA,NA,255.3156428
BESC-113,Columbia,Columbia,Rainier,-122.9904982,46.11589836,19.5,NA,139.4741589,170.0205613,32.33554607,30.54720486,10.56909568,3.255138315,2.472153219,3.156246681,4.561215562,0.143004065,25.35333361,15.87578072,255.3148423
BESC-114,Columbia,Columbia,Rainier,-122.9899613,46.11603088,19.5,0.400458846,140.6033886,176.1558951,34.71823191,31.10799992,10.57603396,2.659014675,3.038557558,3.960800022,5.047046917,0.155397729,NA,NA,255.3146584
BESC-115,Columbia,Columbia,Rainier,-122.9854544,46.10981159,19.5,NA,137.4457754,167.2693616,31.41299297,29.66347933,10.23658119,2.885075257,3.042271338,3.962657683,5.048165187,0.135213133,NA,NA,255.3232894
BESC-116,Columbia,Columbia,Rainier,-122.9856922,46.10928018,19.5,NA,128.3474611,155.473235,27.1715078,25.84726855,9.713137703,2.498424743,5.025930017,4.659411695,5.664711244,0.120475284,NA,NA,255.3240269
BESC-117,Columbia,Columbia,Rainier,-122.9855224,46.10891774,19.5,0.39297642,142.5347015,175.8113771,34.57096583,32.01230927,10.45007565,2.027652166,2.189851476,2.581485408,4.32707865,0.16603012,NA,NA,255.3245299
BESC-118,Columbia,Columbia,Rainier,-122.9853659,46.1086709,19.5,NA,138.1159877,167.6826162,31.50797138,29.91544801,11.48793855,2.029734049,3.894562261,4.482727391,5.269846953,0.148541335,24.19628985,10.84005827,255.3248725
BESC-119,Columbia,Columbia,Rainier,-122.9846934,46.1082435,19.5,0.408702495,130.2276391,163.3006748,30.03523413,26.62627297,10.33626193,2.656586674,2.473934706,3.153025803,5.04111889,0.136314429,NA,NA,255.3254656
BESC-12,Columbia,Columbia,Willow Grove,-123.0456435,46.16550498,22.4,0.403765206,120.1194539,142.9676976,22.92237235,22.63481582,8.951839473,2.032994674,2.756206273,3.681834828,5.045363518,0.113630707,NA,NA,254.2459987
